review,rating,category
"Amazing product, very useful!",5,Electronics
Not worth the price.,2,Clothing
"Good quality, but delivery was late.",4,Beauty
"Terrible experience, will not buy again.",1,Electronics
I am very satisfied with this product.,5,Beauty
"The product is okay, nothing special.",3,Clothing
"I love it, highly recommend!",5,Beauty
Not what I expected.,2,Electronics
"Fast shipping, great quality.",5,Clothing
Waste of money.,1,Beauty
"Excellent, very happy with the purchase!",5,Electronics
"Poor quality, very disappointed.",1,Clothing
"Average product, could be better.",3,Beauty
Five stars!,5,Electronics
Too expensive for the value.,2,Clothing
Product arrived damaged.,1,Beauty
Outstanding product!,5,Electronics
"Decent product, but not great.",3,Clothing
"Very bad experience, do not recommend.",1,Beauty
"Very satisfied, will buy again.",5,Electronics
